epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,680.521,0.35226,0.67453,0.85582,0.51913,0.65948,0.66079,0.62825,0.40215,1.32925,0.92447,0.000240644,0.000240644,0.000240644
86,687.835,0.33651,0.67359,0.84731,0.52278,0.65896,0.67461,0.64207,0.4181,1.28816,0.93967,0.000226497,0.000226497,0.000226497
87,695.682,0.32431,0.66772,0.86152,0.52278,0.65896,0.67461,0.64207,0.4181,1.28816,0.93967,0.000212349,0.000212349,0.000212349
88,703.145,0.32056,0.64823,0.87152,0.85549,0.66539,0.67461,0.6476,0.42994,1.25531,0.96073,0.000198202,0.000198202,0.000198202
89,710.805,0.33946,0.6223,0.81759,0.85549,0.66539,0.67461,0.6476,0.42994,1.25531,0.96073,0.000184055,0.000184055,0.000184055
90,721.58,0.36932,0.65862,0.86898,0.86446,0.64889,0.69111,0.66962,0.37399,1.15344,0.90921,0.000169908,0.000169908,0.000169908
91,729.146,0.32261,0.94587,0.82686,0.86446,0.64889,0.69111,0.66962,0.37399,1.15344,0.90921,0.000155761,0.000155761,0.000155761
92,736.318,0.32086,1.02492,0.82067,0.8807,0.66667,0.67729,0.65304,0.3937,1.10727,0.91162,0.000141614,0.000141614,0.000141614
93,743.625,0.32916,0.96396,0.82934,0.8807,0.66667,0.67729,0.65304,0.3937,1.10727,0.91162,0.000127467,0.000127467,0.000127467
94,753.715,0.28191,0.847,0.83226,0.89176,0.66667,0.67269,0.64667,0.41921,1.10536,0.93483,0.00011332,0.00011332,0.00011332
95,760.845,0.30954,0.89637,0.8358,0.89176,0.66667,0.67269,0.64667,0.41921,1.10536,0.93483,9.91726e-05,9.91726e-05,9.91726e-05
96,768.091,0.33274,0.91693,0.84682,0.90016,0.66667,0.669,0.64322,0.41941,1.08236,0.91847,8.50255e-05,8.50255e-05,8.50255e-05
97,775.229,0.28328,0.82938,0.82057,0.90016,0.66667,0.669,0.64322,0.41941,1.08236,0.91847,7.08784e-05,7.08784e-05,7.08784e-05
98,785.318,0.29757,0.84175,0.79823,0.90332,0.66667,0.66347,0.63958,0.41247,1.07014,0.90504,5.67313e-05,5.67313e-05,5.67313e-05
99,792.348,0.34601,0.84086,0.85568,0.90332,0.66667,0.66347,0.63958,0.41247,1.07014,0.90504,4.25842e-05,4.25842e-05,4.25842e-05
100,799.509,0.30227,0.84554,0.82974,0.90435,0.66667,0.65794,0.63414,0.41959,1.06304,0.90211,2.84371e-05,2.84371e-05,2.84371e-05
